grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,1066,44.8,55.3,20302,ALL,ALL,ALL,2016,Alexander Central High,Alexander County School District,Alexander
ALL,1145,50.8,62.9,20302,ALL,ALL,ALL,2015,Alexander Central High,Alexander County School District,Alexander
ALL,1197,48,61.4,20302,ALL,ALL,ALL,2014,Alexander Central High,Alexander County School District,Alexander
ALL,1193,46.5,57.5,20302,ALL,ALL,ALL,2013,Alexander Central High,Alexander County School District,Alexander
ALL,541,58.8,66.2,20304,ALL,ALL,ALL,2017,Bethlehem Elementary,Alexander County School District,Alexander
ALL,580,60.2,69.5,20304,ALL,ALL,ALL,2016,Bethlehem Elementary,Alexander County School District,Alexander
ALL,614,57.2,66.8,20304,ALL,ALL,ALL,2015,Bethlehem Elementary,Alexander County School District,Alexander
ALL,559,55.6,64.8,20304,ALL,ALL,ALL,2014,Bethlehem Elementary,Alexander County School District,Alexander
ALL,563,52.8,67,20304,ALL,ALL,ALL,2013,Bethlehem Elementary,Alexander County School District,Alexander
ALL,1391,47.6,55.2,20306,ALL,ALL,ALL,2017,East Alexander Middle,Alexander County School District,Alexander
ALL,1485,45.1,53.5,20306,ALL,ALL,ALL,2016,East Alexander Middle,Alexander County School District,Alexander
ALL,1430,43.2,52.9,20306,ALL,ALL,ALL,2015,East Alexander Middle,Alexander County School District,Alexander
ALL,1607,42.5,54.3,20306,ALL,ALL,ALL,2014,East Alexander Middle,Alexander County School District,Alexander
ALL,1589,39.4,50.5,20306,ALL,ALL,ALL,2013,East Alexander Middle,Alexander County School District,Alexander
ALL,382,60.5,68.3,20308,ALL,ALL,ALL,2017,Ellendale Elementary,Alexander County School District,Alexander
ALL,387,55.6,66.9,20308,ALL,ALL,ALL,2016,Ellendale Elementary,Alexander County School District,Alexander
ALL,387,56.8,67.7,20308,ALL,ALL,ALL,2015,Ellendale Elementary,Alexander County School District,Alexander
ALL,359,54.3,67.1,20308,ALL,ALL,ALL,2014,Ellendale Elementary,Alexander County School District,Alexander
ALL,338,52.7,63.6,20308,ALL,ALL,ALL,2013,Ellendale Elementary,Alexander County School District,Alexander
ALL,554,39,48.7,20316,ALL,ALL,ALL,2017,Hiddenite Elementary,Alexander County School District,Alexander
ALL,548,46.5,59.7,20316,ALL,ALL,ALL,2016,Hiddenite Elementary,Alexander County School District,Alexander
ALL,558,43.9,54.7,20316,ALL,ALL,ALL,2015,Hiddenite Elementary,Alexander County School District,Alexander
ALL,545,46.6,58.3,20316,ALL,ALL,ALL,2014,Hiddenite Elementary,Alexander County School District,Alexander
ALL,552,48.2,62.1,20316,ALL,ALL,ALL,2013,Hiddenite Elementary,Alexander County School District,Alexander
ALL,301,50.5,59.8,20320,ALL,ALL,ALL,2017,Stony Point Elementary,Alexander County School District,Alexander
ALL,298,52,62.4,20320,ALL,ALL,ALL,2016,Stony Point Elementary,Alexander County School District,Alexander
ALL,328,47.3,55.5,20320,ALL,ALL,ALL,2015,Stony Point Elementary,Alexander County School District,Alexander
ALL,299,47.8,59.9,20320,ALL,ALL,ALL,2014,Stony Point Elementary,Alexander County School District,Alexander
ALL,320,42.8,55.6,20320,ALL,ALL,ALL,2013,Stony Point Elementary,Alexander County School District,Alexander
ALL,276,59.8,72.1,20324,ALL,ALL,ALL,2017,Sugar Loaf Elementary,Alexander County School District,Alexander
ALL,301,53.8,65.8,20324,ALL,ALL,ALL,2016,Sugar Loaf Elementary,Alexander County School District,Alexander
ALL,305,57.4,67.2,20324,ALL,ALL,ALL,2015,Sugar Loaf Elementary,Alexander County School District,Alexander
ALL,285,61.1,71.6,20324,ALL,ALL,ALL,2014,Sugar Loaf Elementary,Alexander County School District,Alexander
ALL,344,53.2,64.5,20324,ALL,ALL,ALL,2013,Sugar Loaf Elementary,Alexander County School District,Alexander
ALL,293,65.5,74.1,20328,ALL,ALL,ALL,2017,Taylorsville Elementary,Alexander County School District,Alexander
ALL,311,58.2,69.5,20328,ALL,ALL,ALL,2016,Taylorsville Elementary,Alexander County School District,Alexander
ALL,337,58.5,66.5,20328,ALL,ALL,ALL,2015,Taylorsville Elementary,Alexander County School District,Alexander
ALL,266,42.1,56.8,20328,ALL,ALL,ALL,2014,Taylorsville Elementary,Alexander County School District,Alexander
ALL,287,44.6,56.8,20328,ALL,ALL,ALL,2013,Taylorsville Elementary,Alexander County School District,Alexander
ALL,1215,54.8,63.5,20330,ALL,ALL,ALL,2017,West Alexander Middle,Alexander County School District,Alexander
ALL,1194,49.4,59.5,20330,ALL,ALL,ALL,2016,West Alexander Middle,Alexander County School District,Alexander
ALL,1184,52.4,60.7,20330,ALL,ALL,ALL,2015,West Alexander Middle,Alexander County School District,Alexander
ALL,1257,48.2,58.7,20330,ALL,ALL,ALL,2014,West Alexander Middle,Alexander County School District,Alexander
ALL,1394,49.8,58.2,20330,ALL,ALL,ALL,2013,West Alexander Middle,Alexander County School District,Alexander
ALL,361,55.4,65.4,20332,ALL,ALL,ALL,2017,Wittenburg Elementary,Alexander County School District,Alexander
ALL,396,57.8,69.4,20332,ALL,ALL,ALL,2016,Wittenburg Elementary,Alexander County School District,Alexander
ALL,348,52.6,63.8,20332,ALL,ALL,ALL,2015,Wittenburg Elementary,Alexander County School District,Alexander
ALL,355,45.4,60,20332,ALL,ALL,ALL,2014,Wittenburg Elementary,Alexander County School District,Alexander
ALL,334,48.5,63.5,20332,ALL,ALL,ALL,2013,Wittenburg Elementary,Alexander County School District,Alexander
ALL,335,44.8,55.5,30304,ALL,ALL,ALL,2017,Alleghany High,Alleghany County School District,Alleghany
ALL,392,40.1,48.5,30304,ALL,ALL,ALL,2016,Alleghany High,Alleghany County School District,Alleghany
