school_code	grade_span	school_name
330332	06-08	Phillips Middle
330334	PK-05	Princeville Elementary
330340	06-08	South Edgecombe Middle
330348	06-08	West Edgecombe Middle
330350	09-12	SouthWest Edgecombe High
330354	PK-03	Stocks Elementary
330358	09-12	Tarboro High
330LEA		Edgecombe County Public Schools
33A000	0K-08	North East Carolina Prep
340308	PK-05	Ashley Elementary
340311	09-12	Atkins Academic & Technology High
340314	PK-05	Bolton Elementary
340320	0K-05	Brunson Elementary
340326	PK-05	Caleb's Creek Elementary
340330	09-12	Carver High
340334	PK-05	Cash Elementary
340336	09-12	Carter High School
340344	PK-05	Children's Center
340348	0K-05	Clemmons Elementary
340350	06-08	Clemmons Middle
340351	PK-05	Cook Elementary
340354	PK-08	The Downtown School
340362	09-12	Early College of Forsyth Count
340364	09-12	East Forsyth High
340366	06-08	East Forsyth Middle
340368	PK-05	Easton Elementary
340372	06-08	Flat Rock Middle
340376	PK-05	Forest Park Elementary
340380	0K-05	Gibson Elementary
340382	09-12	R B Glenn High
340384	0K-05	Griffith Elementary
340385	06-12	Main Street Academy
340390	PK-05	Hall-Woodward Elementary
340392	06-08	Hanes Middle
340398	0K-12	Hospital/Homebound Ed Center
340400	PK-05	Ibraham Elementary
